Date,High,Low,Open,Close,Volume,Adj Close
2021-04-01,3215.0,3145.0,3191.10009765625,3165.0,4285076.0,3149.593505859375
2021-04-05,3263.0,3151.0,3171.0,3238.89990234375,5317862.0,3223.1337890625
2021-04-06,3275.0,3230.0,3275.0,3264.699951171875,2291562.0,3248.808349609375
2021-04-07,3277.550048828125,3234.800048828125,3259.0,3271.39990234375,2491268.0,3255.4755859375
2021-04-08,3335.0,3266.050048828125,3270.0,3317.35009765625,2578118.0,3301.2021484375
2021-04-09,3354.35009765625,3308.0,3354.0,3322.25,2911129.0,3306.078125
2021-04-12,3338.10009765625,3213.199951171875,3322.25,3246.550048828125,3791828.0,3230.746826171875
2021-04-13,3214.0,3073.050048828125,3214.0,3104.050048828125,8654596.0,3088.9404296875
2021-04-15,3237.25,3087.449951171875,3160.300048828125,3218.949951171875,6062760.0,3203.281005859375
2021-04-16,3247.0,3182.60009765625,3229.0,3195.14990234375,3224657.0,3179.5966796875
2021-04-19,3189.0,3135.10009765625,3169.0,3161.800048828125,2679106.0,3146.4091796875
2021-04-20,3225.35009765625,3126.35009765625,3225.0,3144.550048828125,3141893.0,3129.2431640625
2021-04-22,3148.0,3105.25,3148.0,3118.800048828125,1988980.0,3103.61865234375
2021-04-23,3119.0,3091.050048828125,3105.0,3109.5,1615309.0,3094.36376953125
2021-04-26,3153.0,3088.050048828125,3102.050048828125,3100.800048828125,2490260.0,3085.706298828125
2021-04-27,3136.10009765625,3103.0,3106.0,3132.0,1471417.0,3116.754150390625
2021-04-28,3151.0,3112.0,3149.949951171875,3124.10009765625,1639037.0,3108.892822265625
2021-04-29,3157.35009765625,3105.5,3145.60009765625,3115.25,1621395.0,3100.085693359375
2021-04-30,3132.050048828125,3020.0,3099.0,3035.64990234375,3072305.0,3020.873291015625
2021-05-03,3055.0,3004.0,3024.89990234375,3037.0,1545831.0,3022.216796875
2021-05-04,3090.0,3035.0,3062.800048828125,3049.75,1990777.0,3034.904541015625
2021-05-05,3099.39990234375,3052.39990234375,3070.0,3095.699951171875,1939289.0,3080.630859375
2021-05-06,3134.0,3074.0,3105.5,3111.449951171875,1791671.0,3096.30419921875
2021-05-07,3159.85009765625,3111.800048828125,3133.0,3132.89990234375,1912540.0,3117.64990234375
2021-05-10,3164.199951171875,3125.0,3145.949951171875,3145.5,2137153.0,3130.1884765625
2021-05-11,3128.10009765625,3091.14990234375,3125.0,3122.60009765625,2415625.0,3107.400146484375
2021-05-12,3120.0,3070.60009765625,3120.0,3087.60009765625,1978558.0,3072.570556640625
2021-05-14,3098.5,3040.0,3098.5,3051.5,2043935.0,3036.64599609375
2021-05-17,3075.199951171875,3036.0,3055.0,3069.75,2890462.0,3054.807373046875
2021-05-18,3124.0,3078.0,3100.0,3088.800048828125,2098538.0,3073.7646484375
2021-05-19,3118.0,3067.10009765625,3084.0,3082.0,1986041.0,3066.99755859375
2021-05-20,3088.800048828125,3052.10009765625,3067.10009765625,3060.0,2329027.0,3045.104736328125
2021-05-21,3088.199951171875,3055.10009765625,3061.0,3080.5,1685566.0,3065.5048828125
2021-05-24,3105.0,3072.0,3081.5,3081.5,1652260.0,3066.5
2021-05-25,3128.25,3082.10009765625,3092.0,3114.0,1841613.0,3114.0
2021-05-26,3165.0,3103.800048828125,3120.0,3158.5,1923753.0,3158.5
2021-05-27,3217.75,3161.800048828125,3161.949951171875,3180.0,5959785.0,3180.0
2021-05-28,3198.0,3135.64990234375,3189.5,3143.60009765625,1763701.0,3143.60009765625
2021-05-31,3170.35009765625,3128.60009765625,3150.0,3159.14990234375,1652799.0,3159.14990234375
2021-06-01,3169.949951171875,3132.0,3168.60009765625,3153.0,1377441.0,3153.0
