ticker,strategy_type_id,backtest_id,2017-2020,2017,2018,2019,2020,2017_Q1,2018_Q1,2019_Q1,2020_Q1,2017_Q2,2018_Q2,2019_Q2,2020_Q2,2017_Q3,2018_Q3,2019_Q3,2020_Q3,2017_Q4,2018_Q4,2019_Q4,2020_Q4,2017_M1,2018_M1,2019_M1,2020_M1,2017_M2,2018_M2,2019_M2,2020_M2,2017_M3,2018_M3,2019_M3,2020_M3,2017_M4,2018_M4,2019_M4,2020_M4,2017_M5,2018_M5,2019_M5,2020_M5,2017_M6,2018_M6,2019_M6,2020_M6,2017_M7,2018_M7,2019_M7,2020_M7,2017_M8,2018_M8,2019_M8,2020_M8,2017_M9,2018_M9,2019_M9,2020_M9,2017_M10,2018_M10,2019_M10,2020_M10,2017_M11,2018_M11,2019_M11,2020_M11,2017_M12,2018_M12,2019_M12,2020_M12
BAJAJ-AUTO.NS,2,151,-8.44,49.54,-22.31,9.07,-27.74,3.58,-1.17,-10.46,-27.56,5.61,-8.41,16.99,28.11,24.53,-17.3,8.65,-6.44,9.77,3.79,-4.16,-16.78,0.4,-7.14,-1.05,-0.48,2.49,1.38,-8.38,0.02,0.66,4.98,-1.23,-27.22,6.15,-2.37,1.16,0.0,-2.36,-1.85,17.3,13.18,1.89,-4.42,-1.41,13.19,3.09,-10.81,0.83,-2.99,14.06,-0.57,-7.73,0.86,5.91,-6.75,16.78,-4.39,1.0,7.73,-9.77,-3.88,8.06,-1.34,-0.09,-10.32,0.58,-2.35,6.31,-3.46
BAJAJ-AUTO.NS,2,152,-8.65,13.41,-10.81,-8.29,-1.54,3.83,-5.06,-4.74,-12.76,2.82,-6.26,-1.08,5.86,5.68,-1.27,2.46,4.27,0.52,1.51,-5.01,2.24,0.06,-2.4,-4.9,0.0,0.0,-0.51,0.0,-3.12,3.77,-2.23,0.17,-9.95,0.0,-2.75,-0.07,2.06,2.82,-0.94,-2.99,3.21,0.0,-2.69,2.04,0.49,3.13,-2.01,0.29,3.32,0.0,2.73,0.0,1.51,2.48,-1.93,2.17,-0.58,1.68,0.0,-5.51,2.24,1.47,1.04,0.22,0.0,-2.58,0.47,0.31,0.0
BAJAJ-AUTO.NS,2,153,13.33,27.06,-14.69,-7.91,13.54,10.68,-6.91,-3.09,-9.19,0.87,0.29,1.24,20.77,9.3,-7.23,-2.95,7.17,4.13,-1.5,-3.29,-3.4,7.69,-4.03,-3.31,-5.17,0.33,-2.92,0.22,-2.4,2.44,-0.08,0.0,-1.88,-2.23,-1.72,4.02,3.62,3.16,2.18,-1.71,8.91,0.0,-0.12,-0.98,7.01,3.11,-7.77,-7.28,3.61,3.54,4.06,-0.36,5.68,2.37,-3.34,5.06,-2.12,0.85,-3.4,-4.83,1.79,0.65,4.55,1.53,-6.52,2.58,-2.48,0.1,1.52
BAJAJ-AUTO.NS,2,154,-16.05,124.57,56.29,18.5,-79.82,6.28,-1.08,12.45,-84.05,34.62,-16.24,38.85,-0.55,28.17,34.55,-20.14,20.18,22.46,40.2,-4.96,5.89,6.96,20.3,10.8,2.27,8.84,-10.07,2.91,-26.58,-8.71,-8.57,-1.38,-78.76,0.74,-10.85,20.11,-9.11,44.25,-2.77,13.7,1.35,-7.36,-3.37,1.67,7.95,2.66,50.06,-23.28,-3.73,31.71,2.57,-14.9,5.05,-5.21,-12.59,22.32,18.85,-3.88,0.86,-14.55,18.47,17.78,15.72,12.37,-10.76,8.17,20.11,-1.02,0.15
BAJAJ-AUTO.NS,2,155,146.92,10.86,122.47,11.2,-9.96,-2.08,-3.49,2.91,-37.11,25.86,22.26,33.59,36.01,-5.25,75.85,-4.88,6.83,-5.07,7.22,-14.96,-1.47,0.0,12.81,0.23,3.27,2.3,-17.27,3.42,-13.99,-4.29,3.4,-0.73,-29.19,0.86,7.26,12.29,7.87,29.35,9.6,16.94,16.62,-3.52,4.0,1.74,8.12,3.97,83.23,-18.77,-7.8,38.3,-1.92,-2.27,6.16,-34.11,-2.15,19.82,9.15,-17.29,11.32,-16.21,1.69,5.98,1.57,0.32,-7.8,8.3,-5.17,1.16,5.09
BAJAJ-AUTO.NS,2,156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAJAJ-AUTO.NS,2,157,-40.69,12.06,-22.58,-21.83,-12.56,16.25,-5.52,-6.76,-6.15,2.56,2.4,-4.69,-6.84,-6.68,-16.38,-11.77,2.5,0.71,-4.31,-0.29,-2.43,13.6,0.0,-4.03,-5.36,0.0,-5.52,-3.87,-4.37,2.33,0.0,1.06,3.7,1.51,0.0,0.0,-6.84,-1.09,0.0,-2.94,0.0,2.16,2.4,-1.8,0.0,3.11,-9.3,-4.12,5.4,0.05,-6.48,-1.43,5.63,-9.54,-1.41,-6.64,-7.93,0.71,-7.05,-2.94,0.0,0.0,-0.34,1.53,-2.43,0.0,3.3,1.19,0.0
BAJAJ-AUTO.NS,2,158,-5.4,119.29,72.85,-2.97,-74.28,27.41,-12.03,2.92,-61.34,24.42,11.6,30.11,-37.1,2.41,3.03,-31.16,24.04,35.07,70.88,5.26,-14.72,14.4,28.84,7.22,8.69,13.78,-18.31,-10.35,-18.04,-2.11,-16.41,7.08,-56.61,-9.79,-2.37,15.49,-38.79,36.32,6.36,14.35,6.9,1.17,7.47,-1.48,-3.87,-5.73,39.36,-10.83,-9.29,39.37,-1.02,-26.36,13.17,-22.04,-25.31,4.83,20.84,-7.53,13.51,-9.25,12.88,19.8,24.43,15.17,-16.65,21.93,20.98,0.71,-9.35
BAJAJ-AUTO.NS,2,159,-6.75,45.5,58.56,-17.76,-50.85,4.2,0.96,-13.08,-50.87,18.57,-4.64,27.96,-1.87,14.12,52.72,-18.34,16.99,3.2,7.84,-9.45,-12.86,6.16,11.79,-7.39,4.36,3.92,-11.91,-5.45,-19.26,-5.55,2.53,-0.73,-41.7,3.0,-0.56,9.77,-18.1,18.67,-1.94,19.8,2.53,-2.99,-2.21,-2.7,16.85,2.22,60.21,-19.53,-3.06,39.2,-3.15,-7.87,6.94,-19.79,-1.57,10.15,12.85,-12.27,7.78,-13.35,-0.36,8.67,10.63,1.07,-12.55,8.24,-9.55,3.38,0.0
BAJAJ-AUTO.NS,2,160,61.62,11.75,73.03,0.46,-16.8,6.78,-4.89,22.18,-32.92,3.31,19.4,-4.63,-5.95,-4.24,31.82,-7.08,19.22,5.77,15.58,-7.22,10.62,0.0,0.0,27.91,4.1,0.0,-1.94,-4.48,-6.84,6.78,-3.01,0.0,-30.83,-4.7,5.63,0.0,0.0,8.41,13.04,0.0,-6.08,0.0,0.0,-4.63,0.14,5.7,27.05,-0.72,4.75,1.35,0.0,0.0,6.81,-10.61,3.76,-6.4,6.57,0.0,10.19,-7.22,6.58,6.42,0.0,0.0,3.79,-0.61,4.9,0.0,0.0
